No,Kode,Nama Puskesmas,Raw Text
1,1000126725,BAKONGAN,BAKONGAN Jl. T. Tjut Ali Bakongan Aceh Selatan Aceh Rawat Inap Perdesaan
2,1000126816,KLUET UTARA,KLUET UTARA Jl. Panglima Rasyid Kluet Utara Aceh Selatan Aceh Rawat Inap Perdesaan
3,1000126866,KUALA BA'U,KUALA BA'U Jl. Tgk. Syam Kluet Utara Aceh Selatan Aceh Non Rawat Inap Terpencil
4,1000126880,KAMPUNG PAYA,KAMPUNG PAYA Jl. Manggamat - Kuta Fajar Kluet Utara Aceh Selatan Aceh Non Rawat Inap Terpencil
5,1000126799,KLUET SELATAN,KLUET SELATAN Jl. Bahagia Kluet Selatan Aceh Selatan Aceh Rawat Inap Terpencil
6,1000126701,LABUHAN HAJI,LABUHAN HAJI Jl. Gunung Piatu No. 16 Labuhanhaji Aceh Selatan Aceh Rawat Inap Perdesaan
7,1000126751,DRIEN JALO,DRIEN JALO Jl. Ie Dingen-Jambo Papeun Meukek Aceh Selatan Aceh Rawat Inap Terpencil
8,1000126804,MEUKEK,MEUKEK Jl. Tgk Abbas Hasyim Meukek Aceh Selatan Aceh Rawat Inap Perdesaan
9,1000126854,SAMADUA,SAMADUA Jl. Tapaktuan - Meulaboh Samadua Aceh Selatan Aceh Non Rawat Inap Perdesaan
10,1000673900,SEDAR,SEDAR Jl. Tapaktuan - Meulaboh Samadua Aceh Selatan Aceh Non Rawat Inap Perdesaan
11,1000126684,SAWANG,SAWANG Jl. Tapaktuan - Blangpidie Sawang Aceh Selatan Aceh Rawat Inap Perdesaan
12,1000126787,LHOK BENGKUANG,LHOK BENGKUANG Jl. T. Cut Ali No. 221 Tapaktuan Aceh Selatan Aceh Rawat Inap Perkotaan
13,1000126892,TAPAKTUAN,TAPAKTUAN Jl. Tb Mahmud No 65 Tapaktuan Aceh Selatan Aceh Non Rawat Inap Perkotaan
14,1000126696,TRUMON,TRUMON Jl. T Raja Husen Trumon Aceh Selatan Aceh Rawat Inap Sangat Terpencil
15,1000673912,BULOH SEUMA,BULOH SEUMA Jl. Trumon - Singkil Trumon Aceh Selatan Aceh Non Rawat Inap Sangat Terpencil
16,1000126763,LADANG TUHA,LADANG TUHA Jl. Tapaktuan - Medan Km 17 Pasie Raja Aceh Selatan Aceh Rawat Inap Perdesaan
17,1000126878,UJONG PADANG RASIAN,UJONG PADANG RASIAN Jl. Tapak Tuan - Medan Pasie Raja Aceh Selatan Aceh Non Rawat Inap Perdesaan
18,1000126672,PEULUMAT,PEULUMAT Jl. Tapaktuan - Blangpidie Labuhanhaji Timur Aceh Selatan Aceh Rawat Inap Perdesaan
19,1000126828,BLANGKEJEREN,BLANGKEJEREN Jl. Tapaktuan - Blangpidie Labuhanhaji Barat Aceh Selatan Aceh Rawat Inap Perdesaan
20,1000673924,DARUSSALAM,DARUSSALAM Jl. Syech Muda Wali Al-Khalidi Labuhanhaji Barat Aceh Selatan Aceh Non Rawat Inap Perdesaan
21,1000126737,MENGGAMAT,MENGGAMAT Jl. T. Imam Sabil Kluet Tengah Aceh Selatan Aceh Rawat Inap Sangat Terpencil
22,1000126749,KLUET TIMUR,KLUET TIMUR Jl. Kedai Runding-Paya Dapur Kluet Timur Aceh Selatan Aceh Rawat Inap Sangat Terpencil
23,1000126907,DURIAN KAWAN,DURIAN KAWAN Jl. Kedai Runding-Paya Dapur Kluet Timur Aceh Selatan Aceh Non Rawat Inap Terpencil
24,1000126775,SEUBADEH,SEUBADEH Jl. Tapaktuan-Subulussalam Bakongan Timur Aceh Selatan Aceh Rawat Inap Perdesaan
25,1000126713,KRUENG LUAS,KRUENG LUAS Jl. Tapaktuan-Subulussalam Trumon Timur Aceh Selatan Aceh Rawat Inap Terpencil
26,1000126830,BUKIT GADENG,BUKIT GADENG Jl. Tr Angkasah No.1 Kota Bahagia Aceh Selatan Aceh Rawat Inap Sangat Terpencil
27,1000126842,LADANG RIMBA,LADANG RIMBA Jl. Tapaktuan-Subulussalam Trumon Tengah Aceh Selatan Aceh Rawat Inap Terpencil
28,1000104600,NGKERAN,NGKERAN Jl. Ngkeran Salim Pipit Lawe Alas Aceh Tenggara Aceh Rawat Inap Perdesaan
29,1000104583,LAWE SIGALA-GALA,"LAWE SIGALA-GALA Jl. Kutacane-Medan No 32 Km23,5 Lawe Sigala Aceh Tenggara Aceh Rawat Inap Perdesaan"
30,1000104569,BIAK MULI,BIAK MULI Jl. Kutacane-Medan Km 5 Bambel Aceh Tenggara Aceh Rawat Inap Perdesaan
31,1000104674,BABUSSALAM,BABUSSALAM Jl. Pelajar Babussalam Aceh Tenggara Aceh Non Rawat Inap Perdesaan
32,1000104686,KOTA KUTACANE,KOTA KUTACANE Jl. Ananas Babussalam Aceh Tenggara Aceh Non Rawat Inap Perkotaan
33,1000104557,NATAM,NATAM Jl. Kutacane-Blangkejeren Km.10 Badar Aceh Tenggara Aceh Rawat Inap Perdesaan
34,1000104595,LAWE PERBUNGA,LAWE PERBUNGA Jl. Kutacane-Medan Km. 30 Babul Makmur Aceh Tenggara Aceh Rawat Inap Perdesaan
35,1000104650,GURGUR PARDOMUAN,"GURGUR PARDOMUAN Ds. Pardomuan Ii, Kec. Babul Makmur Babul Makmur Aceh Tenggara Aceh Non Rawat Inap Terpencil"
36,1000104703,MAMAS,MAMAS Jl. Jambur Mamang Darul Hasanah Aceh Tenggara Aceh Non Rawat Inap Perdesaan
37,1000104545,KUTAMBARU,KUTAMBARU Jl. Kampung Nangka Lawe Bulan Aceh Tenggara Aceh Rawat Inap Perdesaan
38,1000104715,LAWE DUA,LAWE DUA Jl. Bandara Alas Leuser Bukit Tusam Aceh Tenggara Aceh Non Rawat Inap Perdesaan
39,1000104662,SUKA MAKMUR,SUKA MAKMUR Jl. Lawe Beringin Horas-Semadam Asal Semadam Aceh Tenggara Aceh Non Rawat Inap Perdesaan
40,1000104636,UNING SIGUR-GUR,UNING SIGUR-GUR Jl. Titimas-Salim Pipit Babul Rahmah Aceh Tenggara Aceh Non Rawat Inap Terpencil
41,1000104624,JAMBUR LAK-LAK,JAMBUR LAK-LAK Jl. Kutacane-Blangkejeren Km 25 Ketambe Aceh Tenggara Aceh Rawat Inap Perdesaan
42,1000104571,DELENG POKHKISEN,"DELENG POKHKISEN Ds. Beriring Naru, Kode Pos 45677 Kec. Deleng Pokhkisen Deleng Pokhkisen Aceh Tenggara Aceh Rawat Inap Perdesaan"
43,1000104533,LAWE SUMUR,LAWE SUMUR Jl. Kelapa Gading Lawe Sumur Aceh Tenggara Aceh Rawat Inap Perdesaan
44,1000104612,TANOH ALAS,TANOH ALAS Jl. Ngkeran Salim Pipit Tanoh Alas Aceh Tenggara Aceh Rawat Inap Perdesaan
45,1000104648,NAGA TIMBUL,NAGA TIMBUL Jl. Liang Pangi. Kode Pos 24677 Leuser Aceh Tenggara Aceh Non Rawat Inap Sangat Terpencil
46,1000104698,LEUSER,LEUSER Jl. Bukit Indah Tanjung Sarin Km 10 Leuser Aceh Tenggara Aceh Non Rawat Inap Sangat Terpencil
47,1000083882,DARUL AMAN,DARUL AMAN Jl. Medan - Banda Aceh Darul Aman Aceh Timur Aceh Non Rawat Inap Perdesaan
48,1000083698,JULOK,JULOK Jl. Medan - Banda Aceh Julok Aceh Timur Aceh Rawat Inap Perkotaan
49,1000083739,IDI RAYEUK,IDI RAYEUK Jl. Medan-Banda Aceh Idi Rayeuk Aceh Timur Aceh Non Rawat Inap Perkotaan
50,1000083765,BIREM BAYEUN,BIREM BAYEUN Jl. Medan - Banda Aceh Birem Bayeun Aceh Timur Aceh Non Rawat Inap Perkotaan
51,1000083674,LOKOP,LOKOP Jl. Lokop-Bhang Keujeuren Serbajadi Aceh Timur Aceh Rawat Inap Sangat Terpencil
52,1000083832,"NURUSSALAM Bagok,","NURUSSALAM Bagok, Kec. Nurussalam Nurussalam Aceh Timur Aceh Non Rawat Inap Perdesaan"
53,1000083650,PEUREULAK,PEUREULAK Jl. Medan - B. Aceh Peureulak Aceh Timur Aceh Non Rawat Inap Perkotaan
54,1000083741,LEUBOK PEMPENG,LEUBOK PEMPENG Jl. Medan - Banda Aceh Peureulak Aceh Timur Aceh Non Rawat Inap Terpencil
55,1000083909,RANTAU SELAMAT,RANTAU SELAMAT Jl. Medan - Banda Aceh Rantau Selamat Aceh Timur Aceh Non Rawat Inap Perdesaan
56,1000083686,SIMPANG ULIM,SIMPANG ULIM Jl. Medan-Banda Aceh Simpang Ulim Aceh Timur Aceh Rawat Inap Perkotaan
57,1000083662,RANTO PEUREULAK,RANTO PEUREULAK Jl. Peunaron - Lokop Ranto Peureulak Aceh Timur Aceh Rawat Inap Perkotaan
58,1000083777,MATANG PUDENG,"MATANG PUDENG Ds. Matang Pudeng, 'Kec. Pante Bidari Pante Bidari Aceh Timur Aceh Non Rawat Inap Perdesaan"
59,1000083818,PANTE BIDARI,PANTE BIDARI Jl. Medan - Banda Aceh Pante Bidari Aceh Timur Aceh Non Rawat Inap Perdesaan
60,1000083894,MADAT,MADAT Jl. Paya Naden - Simpang Ulim Madat Aceh Timur Aceh Non Rawat Inap Perdesaan
61,1000083715,ALUE IE MIRAH,"ALUE IE MIRAH Ds. Alue Ie Mirah, Kec. Indra Makmur Indra Makmu Aceh Timur Aceh Rawat Inap Terpencil"
62,1000083868,PERKEBUNAN INTI ALUE IE ITAM,"PERKEBUNAN INTI ALUE IE ITAM Ds. Alue Le Itam, Kec. Indra Makmur Indra Makmu Aceh Timur Aceh Non Rawat Inap Terpencil"
63,1000083911,IDI TUNONG,"IDI TUNONG Ds. Idi Tunong, Kec. Idi Tunong Idi Tunong Aceh Timur Aceh Non Rawat Inap Perdesaan"
64,1000083791,KEUDE GEUROBAK,"KEUDE GEUROBAK Ds. Panton Rayeuk M (Keude Geurobak), Kec. Banda Alam Banda Alam Aceh Timur Aceh Non Rawat Inap Terpencil"
65,1000083856,PEUDAWA,PEUDAWA Jl. Medan-Banda Aceh Peudawa Aceh Timur Aceh Non Rawat Inap Perdesaan
66,1000083870,PEUREULAK TIMUR,PEUREULAK TIMUR Jl. Medan - Banda Aceh Peureulak Timur Aceh Timur Aceh Non Rawat Inap Perdesaan
67,1000083789,PEUREULAK BARAT,PEUREULAK BARAT Jl. Medan-Banda Aceh Peureulak Barat Aceh Timur Aceh Non Rawat Inap Perdesaan
68,1000083844,SUNGAI RAYA,SUNGAI RAYA Jl. Medan - Banda Aceh Sungai Raya Aceh Timur Aceh Non Rawat Inap Perkotaan
69,1000083820,SIMPANG JERNIH,SIMPANG JERNIH Jl. Buntul Gayo Simpang Jernih Aceh Timur Aceh Rawat Inap Sangat Terpencil
70,1000083806,DARUL IHSAN,DARUL IHSAN Jl. Padang Petuati Darul Ihsan Aceh Timur Aceh Non Rawat Inap Perdesaan
71,1000083753,DARUL FALAH,DARUL FALAH Gembong Tunong Ulee Gajah Kec. Darul Falah Darul Falah Aceh Timur Aceh Non Rawat Inap Perdesaan
72,1000083727,IDI TIMUR,IDI TIMUR Jl. Banda Aceh Medan Idi Timur Aceh Timur Aceh Non Rawat Inap Perdesaan
73,1000083703,PEUNARON,"PEUNARON Ds. Peunaron Baru Dsn.Dk Ii, Kec. Peunaron Peunaron Aceh Timur Aceh Rawat Inap Terpencil"
74,1000062034,LINGE,LINGE Jl. Takengon - Blang Kejeren (Isaq) Linge Aceh Tengah Aceh Rawat Inap Terpencil
75,1000062149,KETAPANG NUSANTARA,KETAPANG NUSANTARA Ds. Owaq Kec. Linge Linge Aceh Tengah Aceh Non Rawat Inap Sangat Terpencil
76,1000062060,SILIH NARA,SILIH NARA Jl. Angkup - Blang Mancung Silih Nara Aceh Tengah Aceh Rawat Inap Perdesaan
77,1000062072,BEBESEN,BEBESEN Jl. Blang Gele Kampung Empus Talu Bebesen Aceh Tengah Aceh Non Rawat Inap Perkotaan
78,1000062084,PEGASING,PEGASING Jl.Takengan -Isaq Km 7 Sp.Kelaping Pegasing Aceh Tengah Aceh Non Rawat Inap Perdesaan
79,1000062010,BINTANG,BINTANG Jl.Bintang-Serule Bintang Aceh Tengah Aceh Rawat Inap Terpencil
80,1000062022,KETOL,KETOL Jl. Sp Iv Rejewali No 19 Ketol Ketol Aceh Tengah Aceh Rawat Inap Terpencil
81,1000062096,KEKUYANG,KEKUYANG Jl. Sp Iv Rejewali No 19 Kekuyang Ketol Aceh Tengah Aceh Non Rawat Inap Sangat Terpencil
82,1000062137,KEBAYAKAN,KEBAYAKAN Jl.Iqra'No 245 Kampung Pinangan Kebayakan Aceh Tengah Aceh Non Rawat Inap Perkotaan
83,1000062113,KUTE PANANG,KUTE PANANG Jl. Takengon - Blang Mancung Kute Panang Aceh Tengah Aceh Non Rawat Inap Perdesaan
84,1000062046,CELALA,CELALA Jl. Angkup - Beutong Kp. Blang Delem Celala Aceh Tengah Aceh Rawat Inap Terpencil
85,1000062151,LUT TAWAR,LUT TAWAR Jl.Pahlawan Bale Atu Laut Tawar Aceh Tengah Aceh Non Rawat Inap Perkotaan
86,1000062058,ATU LINTANG,ATU LINTANG Jl. Takengon - Jagong Atu Lintang Aceh Tengah Aceh Rawat Inap Terpencil
87,1000062008,JAGONG Komplek,JAGONG Komplek Pasar Jagong Kec. Jagong Jeget Jagong Jeget Aceh Tengah Aceh Rawat Inap Terpencil
88,1000062163,BIES,BIES Jl. Takengon - Angkup Bies Aceh Tengah Aceh Non Rawat Inap Perdesaan
89,1000062101,PAMAR Kp.,PAMAR Kp. Paya Tampu Kec. Rusip Antara Rusip Antara Aceh Tengah Aceh Non Rawat Inap Sangat Terpencil
90,1000062125,RUSIP ANTARA,RUSIP ANTARA Jl. Angkup - Pamar Rusip Antara Aceh Tengah Aceh Non Rawat Inap Terpencil
91,1000143864,JOHAN PAHLAWAN,JOHAN PAHLAWAN Jl. Tgk Dirundeng Meulaboh Johan Pahwalan Aceh Barat Aceh Non Rawat Inap Perkotaan
92,1000143876,SUAK RIBEE,SUAK RIBEE Jl. Kuta Paya Suak Ribee Meulaboh Johan Pahwalan Aceh Barat Aceh Non Rawat Inap Perkotaan
93,1000143797,PEUREUMEU,PEUREUMEU Jl. Meulaboh Tutul Kaway XVI Aceh Barat Aceh Rawat Inap Perdesaan
94,1000143840,KAJEUNG,"KAJEUNG Ds. Kajeung, Kec. Sungai Mas Sungai Mas Aceh Barat Aceh Rawat Inap Sangat Terpencil"
95,1000143773,KUALA BHEE,"KUALA BHEE Ds. Kuala Bhee, Kec. Woyla Woyla Aceh Barat Aceh Rawat Inap Terpencil"
96,1000143852,COT SEUMEREUNG,"COT SEUMEREUNG Ds. Cot Seumeureung, Kec. Samatiga Samatiga Aceh Barat Aceh Rawat Inap Perdesaan"
97,1000143814,KUTA PADANG LAYUNG,"KUTA PADANG LAYUNG Jl. Suak Timah Kuala Bhee Km 12, Kec. Bubon Bubon Aceh Barat Aceh Rawat Inap Perdesaan"
98,1000143802,DRIEN RAMPAK,DRIEN RAMPAK Jl. Meulaboh - Banda Aceh Arongan Lambalek Aceh Barat Aceh Rawat Inap Terpencil
99,1000143838,PANTE CEUREUMEN,"PANTE CEUREUMEN Ds. Pante Ceureumen, Kec. Pante Ceureumen Pante Ceureumen Aceh Barat Aceh Rawat Inap Terpencil"
100,1000143890,MEUREUBO,MEUREUBO Jl. Nasional Meureubo Aceh Barat Aceh Non Rawat Inap Perkotaan
101,1000143785,PASI MALI,"PASI MALI Ds. Pasi Mall, Kec. Woyla Barat Woyla Barat Aceh Barat Aceh Rawat Inap Terpencil"
102,1000143888,TANGKEH,"TANGKEH Ds. Tangkeh, Kec. Woyla Timur Woyla Timur Aceh Barat Aceh Non Rawat Inap Terpencil"
103,1000143826,MENTULANG,MENTULANG Jl. Meulaboh Meululang Panton Reu Aceh Barat Aceh Rawat Inap Terpencil
104,1000121828,LHOONG,LHOONG Jl. B.Aceh - Meulaboh Km.54 Lhoong Aceh Besar Aceh Rawat Inap Terpencil
105,1000121763,LHOKNGA,"LHOKNGA Ds. Mon Iken, Kec. Lhoknga Lhoknga Aceh Besar Aceh Rawat Inap Perdesaan"
106,1000121919,INDRAPURI,"INDRAPURI Jl. Pasar Indrapuri - Montasik, Indrapuri Indrapuri Aceh Besar Aceh Non Rawat Inap Perdesaan"
107,1000121933,LAMPUPOK,LAMPUPOK Jl. Tumbo - Reukih Gp. Lampupok Indrapuri Aceh Besar Aceh Non Rawat Inap Perdesaan
108,1000121854,SEULIMEUM,SEULIMEUM Jl. B.Aceh - Medan Km.42 Seulimeum Aceh Besar Aceh Rawat Inap Perdesaan
109,1000121907,LAMTEUBA,"LAMTEUBA Ds. Lamteuba Droe, Kec. Seulimeum Seulimeum Aceh Besar Aceh Rawat Inap Sangat Terpencil"
110,1000121725,MONTASIK,MONTASIK Jl. Ayahanda Tgk Syekh Ibrahim Montasik Montasik Aceh Besar Aceh Rawat Inap Perdesaan
111,1000121969,PIYEUNG,"PIYEUNG Ds. Piyeung Mon Ara, Kec. Montasik Montasik Aceh Besar Aceh Non Rawat Inap Perdesaan"
112,1000121751,SUKAMAKMUR,"SUKAMAKMUR Jl. B.Aceh - Medan Km.16,5 Sibreh Sukamakmur Aceh Besar Aceh Rawat Inap Perdesaan"
113,1000121892,DARUL IMARAH,DARUL IMARAH Jl. Tgk Fakinah Gp. Lampeuneurut Darul Imarah Aceh Besar Aceh Non Rawat Inap Perkotaan
114,1000121701,PEUKAN BADA,PEUKAN BADA Jl. Mesjid Tgk Chik Maharaja Gurah No.3 Peukan Bada Aceh Besar Aceh Non Rawat Inap Perdesaan
115,1000121880,LAMPISANG,LAMPISANG Jl. B.Aceh - Meulaboh Peukan Bada Aceh Besar Aceh Non Rawat Inap Perdesaan
116,1000121696,MESJID RAYA,MESJID RAYA Jl.Laksamana Malahayati Mesjid Raya Aceh Besar Aceh Rawat Inap Terpencil
117,1000121799,INGIN JAYA,INGIN JAYA Gampong Lubok Batee Kec. Ingin Jaya Ingin Jaya Aceh Besar Aceh Non Rawat Inap Perkotaan
118,1000121830,KUTA BARO,KUTA BARO Jl. Blang Bintang Lama Gp. Lamneuheun Kuta Baro Aceh Besar Aceh Rawat Inap Perdesaan
119,1000121804,DARUSSALAM,DARUSSALAM Jl. Lambaro Angan Darussalam Aceh Besar Aceh Rawat Inap Perdesaan
120,1000121737,PULO ACEH,"PULO ACEH Ds. Lampuyang Pulau Breuh, Kec. Pulo Aceh Pulo Aceh Aceh Besar Aceh Rawat Inap Sangat Terpencil"
121,1000121749,LEMBAH SEULAWAH,LEMBAH SEULAWAH Jl. Banda Aceh - Medan Km.76 Saree Lembah Seulawah Aceh Besar Aceh Rawat Inap Terpencil
122,1004725555,GUNUNG BIRAM,"GUNUNG BIRAM Jl. Medan - Banda Aceh No Km 52, Rw 5, Lon Baroh Lembah Seulawah Aceh Besar Aceh Non Rawat Inap Terpencil"
123,1000121816,KOTA JANTHO,KOTA JANTHO Jl. Teureubeh Kota Jantho Kota Jantho Aceh Besar Aceh Rawat Inap Perdesaan
124,1000121787,KUTA COT GLIE,KUTA COT GLIE Jl. B.Aceh - Medan Km.36 Kota Cot Glie Aceh Besar Aceh Rawat Inap Perdesaan
125,1000121945,IE ALANG,"IE ALANG Ds. Ie Alang, Kec. Kuta Cot Glie Kota Cot Glie Aceh Besar Aceh Non Rawat Inap Perdesaan"
