"id","provinsi","kabupaten","jenis_fasyankes","jenis_pemilik","kode","kode_yankes","nama"
"112","Aceh","Kab. Aceh Barat","Puskesmas","Pemda Kab./Kota","P1107072201","P1107072201","Puskesmas Tangkeh"
"106","Aceh","Kab. Aceh Barat","Puskesmas","Pemda Kab./Kota","P1107050202","P1107050202","Puskesmas Suak Ribee"
"107","Aceh","Kab. Aceh Barat","Puskesmas","Pemda Kab./Kota","P1107060101","P1107060101","Puskesmas Cot Seumereung"
"108","Aceh","Kab. Aceh Barat","Puskesmas","Pemda Kab./Kota","P1107061201","P1107061201","Puskesmas Kuta Padang Layung"
"109","Aceh","Kab. Aceh Barat","Puskesmas","Pemda Kab./Kota","P1107062201","P1107062201","Puskesmas Drien Rampak"
"110","Aceh","Kab. Aceh Barat","Puskesmas","Pemda Kab./Kota","P1107070101","P1107070101","Puskesmas Kuala Bhee"
"113","Aceh","Kab. Aceh Barat","Puskesmas","Pemda Kab./Kota","P1107080101","P1107080101","Puskesmas Peureumeu"
"114","Aceh","Kab. Aceh Barat","Puskesmas","Pemda Kab./Kota","P1107081201","P1107081201","Puskesmas Meureubo"
"111","Aceh","Kab. Aceh Barat","Puskesmas","Pemda Kab./Kota","P1107071201","P1107071201","Puskesmas Pasie Mali (woyla Barat)"
"115","Aceh","Kab. Aceh Barat","Puskesmas","Pemda Kab./Kota","P1107082101","P1107082101","Puskesmas Pante Ceureumen"
"116","Aceh","Kab. Aceh Barat","Puskesmas","Pemda Kab./Kota","P1107083101","P1107083101","Puskesmas Mentulang"
"117","Aceh","Kab. Aceh Barat","Puskesmas","Pemda Kab./Kota","P1107090101","P1107090101","Puskesmas Kajeung"
"105","Aceh","Kab. Aceh Barat","Puskesmas","Pemda Kab./Kota","P1107050201","P1107050201","Puskesmas Johan Pahlawan"
"9839","Aceh","Kab. Aceh Barat","Rumah Sakit","Perseorangan","1107015","1107015","RS Umum Montella"
"9841","Aceh","Kab. Aceh Barat","Rumah Sakit","TNI","1107017","1107017","RS Tingkat IV IM 07.02"
"9838","Aceh","Kab. Aceh Barat","Rumah Sakit","Pemda Kab./Kota","1107014","1107014","RS Umum Daerah Cut Nyak Dhien"
"9840","Aceh","Kab. Aceh Barat","Rumah Sakit","Perusahaan","1107016","1107016","RS Umum Harapan Sehat"
"28851","Aceh","Kab. Aceh Barat","Klinik","Perusahaan","1211315","1211315","KLINIK PT KTS"
"28850","Aceh","Kab. Aceh Barat","Klinik","Perseorangan","1211000","1211000","KLINIK HARAPAN BUNDA"
"20372","Aceh","Kab. Aceh Barat","Klinik","Perseorangan","1210909","1210909","Klinik Ananda Family"
"29003","Aceh","Kab. Aceh Barat","Klinik","Perseorangan","1217816","1217816","KLINIK GRAHA UMMI"
"28999","Aceh","Kab. Aceh Barat","Klinik","Perseorangan","1211286","1211286","KLINIK KEUMALA"
"29000","Aceh","Kab. Aceh Barat","Klinik","TNI","1211217","1211217","TONKES YONIF 116/GS"
"29001","Aceh","Kab. Aceh Barat","Klinik","Perseorangan","1211287","1211287","KLINIK ASY-SYIFA"
"28445","Aceh","Kab. Aceh Barat","Klinik","TNI","1210923","1210923","FKTP KLINIK DENKESYAH IM 04.02"
"20998","Aceh","Kab. Aceh Barat","Klinik","Polri","1211238","1211238","POLIKLINIK POLRES ACEH BARAT"
"29002","Aceh","Kab. Aceh Barat","Klinik","Perseorangan","1211303","1211303","KLINIK MULIA MEDIKA"
"28845","Aceh","Kab. Aceh Barat","Klinik","Perseorangan","1211024","1211024","KLINIK CEMPAKA LIMA ACEH BARAT"
"28847","Aceh","Kab. Aceh Barat","Klinik","Perseorangan","1211302","1211302","MITRA MEDIKA MEULABOH"
"28848","Aceh","Kab. Aceh Barat","Klinik","Perseorangan","1211410","1211410","KLINIK YAYASAN BUMI SEHAT"
"28849","Aceh","Kab. Aceh Barat","Klinik","Perseorangan","1211411","1211411","KLINIK UTAMA PERMATA MEDIKA"
"28998","Aceh","Kab. Aceh Barat","Klinik","Perusahaan","1211367","1211367","KLINIK KIMIA FARMA MEULABOH"
"14676","Aceh","Kab. Aceh Barat","Lapas/Rutan","Kementerian Non-Kemenkes","L1107081","L1107081","LAPAS KELAS II B MEULABOH"
"234","Aceh","Kab. Aceh Barat Daya","Puskesmas","Pemda Kab./Kota","P1112060202","P1112060202","Puskesmas Ie Mirah"
"222","Aceh","Kab. Aceh Barat Daya","Puskesmas","Pemda Kab./Kota","P1112010101","P1112010101","Puskesmas Manggeng"
"223","Aceh","Kab. Aceh Barat Daya","Puskesmas","Pemda Kab./Kota","P1112011201","P1112011201","Puskesmas Lembah Sabil"
"224","Aceh","Kab. Aceh Barat Daya","Puskesmas","Pemda Kab./Kota","P1112020201","P1112020201","Puskesmas Tangan-tangan"
"225","Aceh","Kab. Aceh Barat Daya","Puskesmas","Pemda Kab./Kota","P1112020202","P1112020202","Puskesmas Bineh Krueng"
"227","Aceh","Kab. Aceh Barat Daya","Puskesmas","Pemda Kab./Kota","P1112030101","P1112030101","Puskesmas Blang Pidie"
"232","Aceh","Kab. Aceh Barat Daya","Puskesmas","Pemda Kab./Kota","P1112050202","P1112050202","Puskesmas Alue Pisang"
"228","Aceh","Kab. Aceh Barat Daya","Puskesmas","Pemda Kab./Kota","P1112031201","P1112031201","Puskesmas Alue Sungai Pinang"
"233","Aceh","Kab. Aceh Barat Daya","Puskesmas","Pemda Kab./Kota","P1112060201","P1112060201","Puskesmas Babahrot"
"231","Aceh","Kab. Aceh Barat Daya","Puskesmas","Pemda Kab./Kota","P1112050101","P1112050101","Puskesmas Kuala Batee"
"230","Aceh","Kab. Aceh Barat Daya","Puskesmas","Pemda Kab./Kota","P1112040202","P1112040202","Puskesmas Sangkalan"
"226","Aceh","Kab. Aceh Barat Daya","Puskesmas","Pemda Kab./Kota","P1112021201","P1112021201","Puskesmas Lhang"
"229","Aceh","Kab. Aceh Barat Daya","Puskesmas","Pemda Kab./Kota","P1112040201","P1112040201","Puskesmas Susoh"
"9859","Aceh","Kab. Aceh Barat Daya","Rumah Sakit","Pemda Kab./Kota","1112011","1112011","RS Umum Daerah Teungku Peukan"
"29097","Aceh","Kab. Aceh Barat Daya","Klinik","Polri","1217295","1217295","KLINIK POLRES ABCEH BARAT DAYA"
"28448","Aceh","Kab. Aceh Barat Daya","Klinik","TNI","1210939","1210939","FKTP POSKES IM.10.02 ABDYA"
"19468","Aceh","Kab. Aceh Barat Daya","Klinik","Perseorangan","1112922","1112922","Klinik Polres Aceh Barat Daya"
"29098","Aceh","Kab. Aceh Barat Daya","Klinik","Polri","1211318","1211318","KLINIK POLRES ACEH BARAT DAYA"
"29099","Aceh","Kab. Aceh Barat Daya","Klinik","Perseorangan","1210993","1210993","KLINIK AMANAH"
